seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
4424,2026.07.22 23:24:00,2026.07.23 01:54:00,SKIP,XAUUSD,M3,813,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4134.41,4134.32,4136.41,4134.02,4134.16,-0.865,2.42,27.05,55.47,48.60,-0.32,-0.95,0.64,4127.66,4135.96,475,994,71.4,14.3,6,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4425,2026.07.22 23:45:00,2026.07.23 02:15:00,SKIP,XAUUSD,M3,813,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4134.07,4134.39,4135.99,4134.87,4134.74,-0.765,2.09,27.43,36.07,37.52,-0.34,-0.09,-0.25,4127.72,4130.88,497,940,14.3,71.4,40,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4426,2026.07.23 01:00:00,2026.07.23 03:30:00,DAY_SUMMARY,XAUUSD,M3,813,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.06,-123.83,4131.15,4132.60,4134.84,4131.47,4132.88,-1.234,1.81,37.54,36.55,36.58,-1.33,-0.63,-0.70,4127.73,4129.87,258,800,14.3,71.4,12,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,2026.07.22 trades=2 W=0 L=2 gross_profit=0.00 gross_loss=123.83 net=-123.83 PF=0.00
4427,2026.07.23 02:48:00,2026.07.23 05:18:00,ENTRY,XAUUSD,M3,815,BUY,FULLTGT,DAY,0,4130.17,4123.61,4123.61,6.56,1.00,6.56,4136.73,4143.28,4149.84,4156.39,4162.95,0.17,0.17,0.17,4130.17,0.00,0.00,0.00,4123.38,4122.84,4125.46,4121.71,4122.12,-0.800,3.28,31.86,64.41,47.80,-0.21,-1.43,1.22,4123.09,4130.05,1025,697,85.7,14.3,12,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.14,22716.10,KZ=ASIA; KZR=London H @ 4135.33 205 bars ago (high taken); DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3
4428,2026.07.23 04:00:09,2026.07.23 06:30:09,SL_MOVE,XAUUSD,M3,815,BUY,FULLTGT,DAY,0,4130.17,4123.61,4130.17,6.56,1.00,6.56,4136.73,4143.28,4149.84,4156.39,4162.95,0.17,0.00,0.17,4130.17,1.00,0.00,0.00,4129.10,4128.62,4127.92,4128.33,4128.27,0.239,2.96,21.12,59.30,57.67,0.69,1.01,-0.32,4125.72,4132.17,798,871,57.1,14.3,12,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.96,-0.76,22718.14,22833.74,stop to breakeven
4429,2026.07.23 04:00:09,2026.07.23 06:30:09,TP1_REACHED,XAUUSD,M3,815,BUY,FULLTGT,DAY,0,4130.17,4123.61,4130.17,6.56,1.00,6.56,4136.73,4143.28,4149.84,4156.39,4162.95,0.17,0.00,0.17,4136.73,1.00,1.00,0.00,4129.10,4128.62,4127.92,4128.33,4128.27,0.239,2.96,21.12,59.30,57.67,0.69,1.01,-0.32,4125.72,4132.17,798,871,57.1,14.3,12,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.96,-0.76,22718.14,22833.74,full target: no partial booked
4430,2026.07.23 04:03:16,2026.07.23 06:33:16,EXIT_BE,XAUUSD,M3,815,BUY,FULLTGT,DAY,0,4130.17,4123.61,4130.17,6.56,1.00,6.56,4136.73,4143.28,4149.84,4156.39,4162.95,0.17,0.17,0.00,4130.11,0.00,-0.01,-2.22,4130.05,4129.10,4128.15,4129.10,4128.62,0.285,3.34,22.92,62.33,57.67,1.02,0.94,0.08,4126.19,4133.84,2734,910,85.7,0.0,12,1,CROSS=EMA9>EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,1.37,-0.76,22716.52,22716.52,stopped at breakeven
4431,2026.07.23 04:42:00,2026.07.23 07:12:00,ENTRY,XAUUSD,M3,817,SELL,FULLTGT,DAY,0,4126.03,4136.00,4136.00,9.97,1.00,9.97,4116.06,4106.09,4096.12,4086.15,4076.18,0.11,0.11,0.11,4126.03,0.00,0.00,0.00,4131.20,4131.68,4130.23,4132.49,4132.25,0.291,4.99,28.55,40.54,38.52,0.29,1.85,-1.56,4128.29,4126.03,2043,1547,14.3,85.7,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22716.13,22715.58,KZ=ASIA; KZR=London H @ 4135.33 243 bars ago (high taken); DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3
4432,2026.07.23 04:56:22,2026.07.23 07:26:22,SL_MOVE,XAUUSD,M3,817,SELL,FULLTGT,DAY,0,4126.03,4136.00,4126.03,9.97,1.00,9.97,4116.06,4106.09,4096.12,4086.15,4076.18,0.11,0.00,0.11,4126.03,1.00,0.00,0.00,4124.86,4128.17,4128.82,4126.48,4129.15,-0.135,4.76,27.53,33.06,33.53,-2.29,0.24,-2.53,4127.66,4118.39,1950,1801,0.0,100.0,12,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.97,-0.16,22716.13,22826.79,stop to breakeven
4433,2026.07.23 04:56:22,2026.07.23 07:26:22,TP1_REACHED,XAUUSD,M3,817,SELL,FULLTGT,DAY,0,4126.03,4136.00,4126.03,9.97,1.00,9.97,4116.06,4106.09,4096.12,4086.15,4076.18,0.11,0.00,0.11,4116.06,1.00,1.00,0.00,4124.86,4128.17,4128.82,4126.48,4129.15,-0.135,4.76,27.53,33.06,33.53,-2.29,0.24,-2.53,4127.66,4118.39,1950,1801,0.0,100.0,12,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.97,-0.16,22716.13,22826.79,full target: no partial booked
