seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
2630,2026.04.08 04:21:17,2026.04.08 06:51:17,SL_MOVE,XAUUSD,M3,647,SELL,FULLTGT,DAY,0,4813.79,4832.65,4813.79,18.86,1.00,18.86,4794.93,4776.06,4757.20,4738.34,4719.48,0.07,0.00,0.07,4813.79,1.00,0.00,0.00,4813.97,4816.71,4806.04,4818.07,4818.63,1.152,9.26,20.69,35.07,46.93,-1.22,0.41,-1.63,4802.10,4797.60,813,648,0.0,85.7,12,0,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.99,-0.75,27872.97,28005.20,stop to breakeven
2631,2026.04.08 04:21:17,2026.04.08 06:51:17,TP1_REACHED,XAUUSD,M3,647,SELL,FULLTGT,DAY,0,4813.79,4832.65,4813.79,18.86,1.00,18.86,4794.93,4776.06,4757.20,4738.34,4719.48,0.07,0.00,0.07,4794.93,1.00,1.00,0.00,4813.97,4816.71,4806.04,4818.07,4818.63,1.152,9.26,20.69,35.07,46.93,-1.22,0.41,-1.63,4802.10,4797.60,813,648,0.0,85.7,12,0,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.99,-0.75,27872.97,28005.20,full target: no partial booked
2632,2026.04.08 04:50:29,2026.04.08 07:20:29,EXIT_BE,XAUUSD,M3,647,SELL,FULLTGT,DAY,0,4813.79,4832.65,4813.79,18.86,1.00,18.86,4794.93,4776.06,4757.20,4738.34,4719.48,0.07,0.07,0.00,4813.93,0.00,-0.01,-1.48,4802.10,4806.87,4804.03,4801.63,4807.16,0.322,8.82,20.81,46.57,51.42,-4.60,-4.46,-0.14,4801.70,4803.99,632,683,28.6,42.9,14,0,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,1.35,-0.75,27871.74,27871.74,stopped at breakeven
2633,2026.04.08 05:03:00,2026.04.08 07:33:00,ENTRY,XAUUSD,M3,649,BUY,FULLTGT,DAY,0,4819.38,4803.02,4803.02,16.36,1.00,16.36,4835.74,4852.10,4868.46,4884.83,4901.19,0.08,0.08,0.08,4819.38,0.00,0.00,0.00,4810.08,4809.45,4805.76,4807.78,4808.47,0.451,8.18,19.38,57.96,52.80,-0.48,-3.34,2.86,4802.31,4819.26,697,678,85.7,0.0,13,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,27871.46,27870.42,KZ=ASIA; KZR=Asia H @ 4800.40 62 bars ago (high taken); DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3
2634,2026.04.08 05:48:00,2026.04.08 08:18:00,FLIP,XAUUSD,M3,649,BUY,FULLTGT,DAY,0,4819.38,4803.02,4803.02,16.36,1.00,16.36,4835.74,4852.10,4868.46,4884.83,4901.19,0.08,0.00,0.00,4806.89,0.00,-0.76,0.00,4810.89,4811.38,4808.80,4811.93,4811.84,0.605,4.27,20.70,43.92,47.86,-0.20,0.55,-0.75,4803.63,4806.75,444,505,14.3,57.1,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.13,-0.82,27871.46,27771.54,opposite signal before SL/target | BUY -> SELL | closing trade 649
2635,2026.04.08 05:48:00,2026.04.08 08:18:00,EXIT_FLIP,XAUUSD,M3,649,BUY,FULLTGT,DAY,0,4819.38,4803.02,4803.02,16.36,1.00,16.36,4835.74,4852.10,4868.46,4884.83,4901.19,0.08,0.08,0.00,4806.89,0.00,-0.76,0.00,4810.89,4811.38,4808.80,4811.93,4811.84,0.605,4.27,20.70,43.92,47.86,-0.20,0.55,-0.75,4803.63,4806.75,444,505,14.3,57.1,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.13,-0.82,27771.26,27771.26,FLIP exit
2636,2026.04.08 05:48:00,2026.04.08 08:18:00,EXIT_OTHER,XAUUSD,M3,649,BUY,FULLTGT,DAY,0,4819.38,4803.02,4803.02,16.36,1.00,16.36,4835.74,4852.10,4868.46,4884.83,4901.19,0.08,0.08,0.00,4806.89,0.00,-0.76,-100.48,4810.89,4811.38,4808.80,4811.93,4811.84,0.605,4.27,20.70,43.92,47.86,-0.20,0.55,-0.75,4803.63,4806.75,444,505,14.3,57.1,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.13,-0.82,27771.26,27771.26,FLIP exit
2637,2026.04.08 05:48:00,2026.04.08 08:18:00,ENTRY,XAUUSD,M3,651,SELL,FULLTGT,DAY,649,4806.89,4815.42,4815.42,8.53,1.00,8.53,4798.36,4789.82,4781.29,4772.75,4764.22,0.16,0.16,0.16,4806.89,0.00,0.00,0.00,4810.89,4811.38,4808.80,4811.93,4811.84,0.605,4.27,20.70,43.92,47.86,-0.20,0.55,-0.75,4803.63,4806.75,444,505,14.3,57.1,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27770.70,27768.78,KZ=ASIA; KZR=Asia H @ 4800.40 77 bars ago (high taken); DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3; flipped from trade 649
2638,2026.04.08 06:14:41,2026.04.08 08:44:41,SL_MOVE,XAUUSD,M3,651,SELL,FULLTGT,DAY,649,4806.89,4815.42,4806.89,8.53,1.00,8.53,4798.36,4789.82,4781.29,4772.75,4764.22,0.16,0.00,0.16,4806.89,1.00,0.00,0.00,4804.19,4806.98,4807.29,4804.74,4807.48,-0.066,4.63,28.64,41.18,43.73,-2.49,-1.56,-0.93,4803.63,4802.00,435,461,0.0,85.7,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.97,-0.28,27770.70,27909.42,stop to breakeven
2639,2026.04.08 06:14:41,2026.04.08 08:44:41,TP1_REACHED,XAUUSD,M3,651,SELL,FULLTGT,DAY,649,4806.89,4815.42,4806.89,8.53,1.00,8.53,4798.36,4789.82,4781.29,4772.75,4764.22,0.16,0.00,0.16,4798.36,1.00,1.00,0.00,4804.19,4806.98,4807.29,4804.74,4807.48,-0.066,4.63,28.64,41.18,43.73,-2.49,-1.56,-0.93,4803.63,4802.00,435,461,0.0,85.7,12,0,CROSS=EMA9<EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.97,-0.28,27770.70,27909.42,full target: no partial booked
