seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
3424,2026.08.05 02:03:00,2026.08.05 04:33:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4078.09,4078.91,4079.52,4080.13,4079.81,-0.215,2.84,33.82,27.45,39.77,-0.35,0.94,-1.29,4078.37,4069.91,1945,488,0.0,100.0,12,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,already positioned that way
3425,2026.08.05 03:18:00,2026.08.05 05:48:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4072.50,4072.42,4074.35,4072.18,4072.28,-1.099,1.76,24.76,53.95,44.07,-0.37,-0.95,0.58,4073.88,4073.77,800,605,57.1,28.6,12,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,quality filter
3426,2026.08.05 10:27:00,2026.08.05 12:57:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4168.67,4168.90,4160.94,4169.50,4169.25,2.086,3.82,32.91,45.36,58.09,1.27,3.30,-2.03,4126.95,4165.35,1050,1383,28.6,57.1,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,already positioned that way
3427,2026.08.05 11:00:00,2026.08.05 13:30:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4167.59,4167.45,4162.85,4166.75,4167.10,1.619,2.84,29.27,59.51,60.51,0.32,-0.16,0.49,4128.85,4170.92,890,1122,85.7,0.0,9,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3428,2026.08.05 11:21:00,2026.08.05 13:51:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4167.38,4167.56,4164.06,4167.72,4167.71,1.275,2.74,23.38,46.36,52.50,0.09,0.37,-0.28,4130.15,4166.00,1142,980,28.6,57.1,9,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3429,2026.08.05 13:57:00,2026.08.05 16:27:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4156.26,4156.23,4157.96,4155.55,4155.95,-0.613,2.81,19.33,56.63,45.85,-0.41,-0.87,0.46,4135.75,4159.09,880,746,71.4,14.3,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3430,2026.08.05 15:57:00,2026.08.05 18:27:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4193.36,4193.53,4184.73,4195.12,4194.25,1.609,5.47,39.07,41.31,51.35,2.19,5.89,-3.70,4147.52,4186.33,1740,2151,28.6,57.1,10,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3431,2026.08.05 16:27:00,2026.08.05 18:57:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4192.58,4192.56,4187.03,4192.01,4192.33,1.179,4.69,21.28,54.38,56.94,0.66,0.70,-0.04,4150.03,4194.86,2020,2149,57.1,14.3,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3432,2026.08.05 18:57:00,2026.08.05 21:27:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4248.82,4249.08,4236.03,4251.61,4250.22,2.263,5.77,33.77,40.74,54.30,2.70,7.07,-4.37,4177.57,4237.69,2694,2974,28.6,57.1,10,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3433,2026.08.05 19:45:00,2026.08.05 22:15:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4242.17,4241.89,4237.31,4241.55,4241.61,1.177,3.89,36.13,54.97,56.20,0.01,-1.43,1.44,4181.42,4244.68,1144,2439,85.7,0.0,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3434,2026.08.05 20:03:00,2026.08.05 22:33:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4241.83,4241.90,4238.31,4242.25,4242.08,0.890,4.03,28.35,47.61,53.24,-0.04,-0.03,-0.01,4182.36,4240.15,2150,1971,28.6,71.4,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3435,2026.08.05 20:06:00,2026.08.05 22:36:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4242.32,4242.12,4238.55,4241.83,4241.90,0.902,3.96,28.50,53.22,54.33,0.16,0.07,0.09,4182.55,4244.28,1824,1909,85.7,0.0,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3436,2026.08.05 20:18:00,2026.08.05 22:48:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4242.10,4242.11,4239.08,4242.54,4242.28,0.799,3.79,24.57,47.50,52.71,0.05,0.16,-0.11,4183.11,4240.35,1476,1689,28.6,42.9,9,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3437,2026.08.05 20:36:00,2026.08.05 23:06:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4242.77,4242.19,4239.70,4241.42,4241.59,0.599,4.16,23.26,58.52,59.03,0.38,-0.09,0.48,4184.25,4248.19,1942,1664,85.7,0.0,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3438,2026.08.05 22:21:00,2026.08.06 00:51:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4257.24,4257.53,4253.19,4258.69,4258.14,1.498,2.90,35.50,38.97,47.32,0.75,2.39,-1.63,4189.13,4251.45,1640,1211,14.3,85.7,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3439,2026.08.06 01:24:00,2026.08.06 03:54:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4247.63,4247.60,4248.75,4247.53,4247.55,-0.466,2.47,16.69,50.47,48.08,-0.33,-0.78,0.45,4248.48,4248.03,352,373,42.9,28.6,7,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,24910.80,24910.80,quality filter
3440,2026.08.06 04:30:00,2026.08.06 07:00:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4283.23,4283.99,4276.98,4285.01,4284.78,0.839,8.36,28.29,44.90,47.95,1.10,4.23,-3.13,4278.32,4276.14,2570,2514,0.0,100.0,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,already positioned that way
