run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe,folder
W_sl3p0_L5_cool,M5 (2026.01.01 - 2026.09.18),Cooldown,529,-408.68,0.98,-0.77,2 589.20 (43.33%),43.33,25.14,130.85,-44.98,-0.33,results_best_M5
W_sl2p5_L8_cool,M5 (2026.01.01 - 2026.09.18),Cooldown,531,-467.89,0.97,-0.88,2 727.75 (47.91%),47.91,23.92,123.02,-39.83,-0.34,results_best_M5
W_sl3p0_L8_ema50_cool,M3 (2026.01.01 - 2026.09.18),"Ema50,Cooldown",656,-579.49,0.96,-0.88,2 461.25 (43.33%),43.33,27.44,87.13,-34.16,-0.53,results_best_M3
W_sl3p0_L5_ema50,M5 (2026.01.01 - 2026.09.18),Ema50,449,-615.98,0.96,-1.37,2 255.83 (41.18%),41.18,23.83,130.39,-42.6,-0.58,results_best_M5
REF_00_base,M15 (2026.01.01 - 2026.09.18),none,252,-657.0,0.92,-2.61,3 063.05 (57.18%),57.18,23.02,137.01,-44.35,-0.67,results_best_M15
W_sl3p0_L8_ema50_vwap,M5 (2026.01.01 - 2026.09.18),"Ema50,Vwap",289,-664.91,0.94,-2.3,2 797.60 (45.59%),45.59,24.91,133.61,-47.4,-0.67,results_best_M5
W_sl3p0_L8_cool,M5 (2026.01.01 - 2026.09.18),Cooldown,531,-683.34,0.96,-1.29,2 903.24 (46.69%),46.69,25.24,128.24,-45.01,-0.5,results_best_M5
W_sl3p0_L8_all3,M5 (2026.01.01 - 2026.09.18),"Ema50,Vwap,Cooldown",258,-773.26,0.92,-3.0,2 712.15 (43.79%),43.79,25.19,138.56,-50.67,-0.86,results_best_M5
W_sl3p0_L8_ema50_cool,M5 (2026.01.01 - 2026.09.18),"Ema50,Cooldown",398,-887.86,0.94,-2.23,2 870.65 (46.53%),46.53,24.87,129.35,-45.8,-0.77,results_best_M5
W_sl3p0_L8_ema50,M5 (2026.01.01 - 2026.09.18),Ema50,451,-1054.11,0.93,-2.34,3 052.07 (49.93%),49.93,23.95,125.65,-42.64,-0.87,results_best_M5
W_sl3p0_L4,M5 (2026.01.01 - 2026.09.18),none,686,-1078.55,0.95,-1.57,3 245.50 (49.82%),49.82,26.38,109.73,-41.46,-1.02,results_best_M5
W_sl2p5_L5_cool,M5 (2026.01.01 - 2026.09.18),Cooldown,529,-1079.1,0.93,-2.04,2 801.70 (53.72%),53.72,23.82,119.14,-39.93,-0.98,results_best_M5
W_sl3p0_L8_t25,M5 (2026.01.01 - 2026.09.18),none,582,-1265.08,0.93,-2.17,2 831.00 (46.76%),46.76,24.57,111.88,-39.33,-1.03,results_best_M5
