seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
1126,2026.05.08 23:15:00,2026.05.09 01:45:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4722.56,4722.98,4721.75,4723.50,4723.39,0.542,2.27,26.63,38.16,38.16,0.07,0.79,-0.72,4717.83,4718.80,955,1410,14.3,71.4,11,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1127,2026.05.11 04:25:00,2026.05.11 06:55:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4692.93,4691.60,4696.53,4690.37,4690.44,-0.488,10.11,20.00,61.71,61.71,-0.13,-2.51,2.39,4689.38,4703.16,3695,2650,85.7,0.0,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 803 bars ago > 6
1128,2026.05.11 05:00:00,2026.05.11 07:30:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4691.78,4692.10,4695.70,4693.29,4692.73,-0.362,9.94,24.29,41.97,41.97,-0.42,0.24,-0.66,4690.36,4685.76,2385,3133,0.0,71.4,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 810 bars ago > 6
1129,2026.05.11 05:40:00,2026.05.11 08:10:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4690.71,4690.62,4693.82,4688.61,4689.77,-0.486,6.59,27.27,59.03,59.03,-0.42,-1.21,0.79,4690.12,4699.09,2633,3071,85.7,0.0,11,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 818 bars ago > 6
1130,2026.05.11 05:45:00,2026.05.11 08:15:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4690.28,4690.43,4693.62,4690.71,4690.62,-0.470,6.79,26.88,47.80,47.80,-0.54,-1.22,0.68,4690.15,4688.56,2085,2869,14.3,71.4,10,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 819 bars ago > 6
1131,2026.05.11 09:50:00,2026.05.11 12:20:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4670.10,4669.71,4674.72,4669.16,4669.30,-0.767,6.53,31.83,54.25,54.25,-0.91,-3.23,2.32,4682.86,4673.85,1984,2346,71.4,14.3,10,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 868 bars ago > 6
1132,2026.05.11 10:55:00,2026.05.11 13:25:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4672.21,4672.49,4674.52,4672.97,4672.82,-0.438,4.65,29.13,44.71,44.71,-0.08,0.89,-0.97,4682.12,4669.14,1586,1949,0.0,85.7,11,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 881 bars ago > 6
1133,2026.05.11 11:25:00,2026.05.11 13:55:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4672.25,4672.05,4673.80,4671.15,4671.58,-0.337,5.20,29.70,56.49,56.49,0.01,-0.29,0.30,4681.61,4676.67,1789,1794,71.4,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1134,2026.05.11 11:40:00,2026.05.11 14:10:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4671.67,4671.82,4673.50,4672.05,4671.98,-0.313,5.38,21.04,47.37,47.37,-0.20,-0.43,0.23,4681.42,4670.16,1662,1751,14.3,57.1,9,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1135,2026.05.11 14:05:00,2026.05.11 16:35:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4665.31,4664.54,4666.81,4663.84,4663.87,-0.545,4.17,32.57,60.72,60.72,0.04,-1.08,1.12,4678.97,4671.20,2027,1416,85.7,14.3,10,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1136,2026.05.11 19:30:00,2026.05.11 22:00:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4727.64,4728.09,4719.41,4728.55,4728.51,2.216,3.92,29.35,45.19,45.19,0.95,2.59,-1.65,4692.60,4723.98,1726,1941,14.3,71.4,7,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1137,2026.05.11 21:05:00,2026.05.11 23:35:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4722.38,4722.10,4719.82,4721.83,4721.86,0.769,2.97,26.77,54.86,54.86,-0.15,-1.21,1.06,4694.32,4724.55,1152,1766,85.7,0.0,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1138,2026.05.12 04:05:00,2026.05.12 06:35:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4754.52,4755.86,4749.37,4757.17,4757.06,0.871,7.45,27.66,36.34,36.34,0.66,4.07,-3.41,4755.95,4743.90,4906,1976,0.0,100.0,12,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 1087 bars ago > 6
1139,2026.05.12 11:55:00,2026.05.12 14:25:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4701.87,4701.65,4706.22,4701.46,4701.47,-1.075,4.25,15.59,52.66,52.66,-0.46,-1.08,0.62,4725.14,4703.51,1635,1721,57.1,14.3,7,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1140,2026.05.12 12:10:00,2026.05.12 14:40:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4701.51,4701.56,4705.67,4702.04,4701.78,-1.032,3.98,17.73,44.24,44.24,-0.47,-0.69,0.22,4724.76,4699.36,1342,1638,14.3,57.1,7,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1141,2026.05.12 13:10:00,2026.05.12 15:40:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4701.82,4701.21,4703.79,4700.33,4700.56,-0.541,4.77,23.02,59.41,59.41,0.14,-0.59,0.73,4723.11,4707.79,1308,1507,57.1,14.3,9,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1142,2026.05.12 13:35:00,2026.05.12 16:05:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.40,4700.84,4703.19,4701.65,4701.38,-0.437,5.38,19.64,41.68,41.68,-0.40,-0.16,-0.24,4722.57,4695.39,1769,1408,0.0,85.7,10,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1143,2026.05.12 14:40:00,2026.05.12 17:10:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4697.68,4697.21,4699.83,4695.99,4696.49,-0.439,5.95,22.42,58.32,58.32,-0.29,-1.88,1.60,4720.09,4704.44,1531,1707,57.1,14.3,10,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1144,2026.05.12 15:35:00,2026.05.12 18:05:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4699.39,4699.78,4700.55,4701.07,4700.49,-0.134,5.76,24.52,40.83,40.83,0.04,1.40,-1.37,4718.59,4692.66,5300,2190,0.0,85.7,9,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1145,2026.05.12 15:45:00,2026.05.12 18:15:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.42,4700.20,4700.68,4699.85,4699.95,-0.076,6.30,21.87,53.11,53.11,0.38,1.11,-0.72,4718.21,4702.67,3607,2360,57.1,28.6,30,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1146,2026.05.12 16:15:00,2026.05.12 18:45:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4698.57,4699.86,4700.55,4700.95,4700.95,-0.085,8.07,22.87,38.82,38.82,-0.65,0.58,-1.23,4717.24,4689.04,3132,2699,0.0,85.7,7,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1147,2026.05.12 20:05:00,2026.05.12 22:35:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4671.14,4670.95,4677.12,4669.84,4670.41,-1.378,4.47,23.09,55.99,55.99,-1.10,-2.59,1.49,4704.29,4676.35,2015,2496,57.1,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1148,2026.05.13 04:00:00,2026.05.13 06:30:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4718.79,4719.24,4714.85,4719.85,4719.71,0.892,4.92,26.99,42.74,42.74,0.36,1.66,-1.29,4719.62,4714.54,2260,1932,0.0,100.0,7,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 115 bars ago > 6
1149,2026.05.13 06:50:00,2026.05.13 09:20:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4700.23,4700.03,4703.87,4699.63,4699.77,-0.920,4.17,50.49,52.75,52.75,-1.17,-3.62,2.45,4710.61,4702.63,707,1463,71.4,14.3,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 149 bars ago > 6
